PLAYER{[item0,Un-Dye][item0quantity,99][item1,none][item1quantity,0][item2,none][item2quantity,0][item3,none][item3quantity,0][item4,none][item4quantity,0][item5,none][item5quantity,0][item6,none][item6quantity,0][item7,none][item7quantity,0][item8,none][item8quantity,0][item9,none][item9quantity,0][item10,Overcoat (Cyan)][item10quantity,1][item11,none][item11quantity,0][item12,none][item12quantity,0][item13,Bunny Ears (Pink)][item13quantity,1][item14,none][item14quantity,0][item15,Cyan Dye][item15quantity,97][item16,Jeans (Cyan)][item16quantity,1][item17,none][item17quantity,0][item18,none][item18quantity,0][item19,none][item19quantity,0][item20,none][item20quantity,0][item21,Sailcloth (Cyan)][item21quantity,1][item22,none][item22quantity,0][item23,Cat Ears (Pink)][item23quantity,1][item24,Sneakers (Cyan)][item24quantity,1][item25,Short-sleeve Tee (Cyan)][item25quantity,1][item26,Sunglasses (Red)][item26quantity,1][item27,none][item27quantity,0][item28,none][item28quantity,0][item29,none][item29quantity,0][item30,none][item30quantity,0][item31,none][item31quantity,0][item32,none][item32quantity,0][item33,none][item33quantity,0][item34,none][item34quantity,0][item35,none][item35quantity,0][item36,none][item36quantity,0][item37,none][item37quantity,0][item38,none][item38quantity,0][item39,none][item39quantity,0][item40,none][item40quantity,0][item41,none][item41quantity,0][item42,Pink Dye][item42quantity,94][item43,none][item43quantity,0][item44,none][item44quantity,0][item45,none][item45quantity,0][item46,none][item46quantity,0][item47,none][item47quantity,0][item48,none][item48quantity,0][item49,none][item49quantity,0][hat,Dog Mask (Cyan)][shirt,Striped Shirt (Navy)][outerwear,clothingnone][pants,Super Shorts (Pink)][socks,Striped Socks (Cyan)][shoes,clothingnone][gloves,clothingnone][earrings,Piercing (Pink)][scarf,clothingnone][glasses,clothingnone][back,Cat Tail (Cyan)][sailcloth,Sailcloth (Navy)][accessory1,clothingnone][accessory2,clothingnone][accessory3,clothingnone][skin,Skin Peach][hair,Dirty Jack (Hair Solar Blond)][facialhair,clothingnone][eyes,Eyes Dot][gold,3000]}
SHIPPING_BIN{[id,farmShippingBin][numItems,0][area,FARM]}
PLACEABLE{[positionX,704][positionY,320][tileX,88][tileY,40][entitytype,FARMHOUSE][wallsDye,Pink Dye][roofDye,Black Dye][trimDye,Black Dye][area,FARM]}
PLACEABLE{[positionX,40][positionY,368][tileX,5][tileY,46][entitytype,GRASS][sprite,winterR][area,FARM]}
PLACEABLE{[positionX,72][positionY,376][tileX,9][tileY,47][entitytype,GRASS][sprite,winter][area,FARM]}
PLACEABLE{[positionX,80][positionY,352][tileX,10][tileY,44][entitytype,GRASS][sprite,winterL][area,FARM]}
PLACEABLE{[positionX,88][positionY,352][tileX,11][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,104][positionY,352][tileX,13][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,128][positionY,352][tileX,16][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,144][positionY,352][tileX,18][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,192][positionY,344][tileX,24][tileY,43][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,200][positionY,344][tileX,25][tileY,43][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,232][positionY,336][tileX,29][tileY,42][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,272][positionY,336][tileX,34][tileY,42][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,280][positionY,336][tileX,35][tileY,42][entitytype,GRASS][sprite,winterR][area,FARM]}
PLACEABLE{[positionX,336][positionY,352][tileX,42][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,400][positionY,352][tileX,50][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,440][positionY,352][tileX,55][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,448][positionY,352][tileX,56][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,456][positionY,352][tileX,57][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,720][positionY,344][tileX,90][tileY,43][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,992][positionY,352][tileX,124][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1008][positionY,352][tileX,126][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
PLACEABLE{[positionX,1032][positionY,352][tileX,129][tileY,44][entitytype,GRASS][sprite,winterC][area,FARM]}
